      HGT,    UWind,    VWind,   TMP,isoBar_Pa,latitude,longitude,forecast_time_hr,forecast_time_unix
35695.15,35.28833,7.4296155,243.59912,500.0,36.75,-80.5,12:00:00,1681056000.0
35696.31,35.39833,7.079615,243.65912,500.0,36.75,-80.25,12:00:00,1681056000.0
35697.586,35.55833,6.7396154,243.77911,500.0,36.75,-80.0,12:00:00,1681056000.0
35699.227,35.55833,6.499615,243.93912,500.0,36.75,-79.75,12:00:00,1681056000.0
35701.465,35.42833,6.4496155,244.01912,500.0,36.75,-79.5,12:00:00,1681056000.0
35703.348,35.37833,6.4296155,243.95912,500.0,36.75,-79.25,12:00:00,1681056000.0
35704.027,35.44833,6.2196155,243.80911,500.0,36.75,-79.0,12:00:00,1681056000.0
35704.266,35.73833,5.829615,243.73912,500.0,36.75,-78.75,12:00:00,1681056000.0
35705.027,35.96833,5.4196153,243.76912,500.0,36.75,-78.5,12:00:00,1681056000.0
35706.547,36.15833,5.1596155,243.87912,500.0,36.75,-78.25,12:00:00,1681056000.0
35708.99,36.08833,5.0896153,243.93912,500.0,36.75,-78.0,12:00:00,1681056000.0
35711.31,36.08833,5.0996156,243.84912,500.0,36.75,-77.75,12:00:00,1681056000.0
35712.465,36.31833,5.1896152,243.70912,500.0,36.75,-77.5,12:00:00,1681056000.0
35696.707,34.848328,9.549615,243.56912,500.0,36.5,-81.5,12:00:00,1681056000.0
35696.99,35.05833,9.379615,243.71912,500.0,36.5,-81.25,12:00:00,1681056000.0
35697.746,35.188328,9.049615,243.81912,500.0,36.5,-81.0,12:00:00,1681056000.0
35699.066,35.28833,8.579616,243.83911,500.0,36.5,-80.75,12:00:00,1681056000.0
35700.465,35.30833,8.129615,243.82912,500.0,36.5,-80.5,12:00:00,1681056000.0
35701.746,35.51833,7.7796154,243.86911,500.0,36.5,-80.25,12:00:00,1681056000.0
35703.465,35.69833,7.5696154,244.00911,500.0,36.5,-80.0,12:00:00,1681056000.0
35705.945,35.65833,7.459615,244.16911,500.0,36.5,-79.75,12:00:00,1681056000.0
35708.547,35.53833,7.349615,244.16911,500.0,36.5,-79.5,12:00:00,1681056000.0
35710.027,35.48833,7.1096153,244.01912,500.0,36.5,-79.25,12:00:00,1681056000.0
35710.227,35.76833,6.729615,243.90912,500.0,36.5,-79.0,12:00:00,1681056000.0
35710.586,36.08833,6.3896155,243.96912,500.0,36.5,-78.75,12:00:00,1681056000.0
35711.785,36.29833,6.1496153,244.14911,500.0,36.5,-78.5,12:00:00,1681056000.0
35714.066,36.278328,6.079615,244.25911,500.0,36.5,-78.25,12:00:00,1681056000.0
35716.547,36.15833,5.9696155,244.22911,500.0,36.5,-78.0,12:00:00,1681056000.0
