HGT,UWind,VWind,latitude,longitude,forecast_time_hr,forecast_time_unix
622.14,0.70382327,-9.07764,37.0,-78.0,12,1745762400
620.908,1.2038232,-9.967639,37.0,-77.75,12,1745762400
619.484,1.7238232,-10.187639,37.0,-77.5,12,1745762400
647.532,-0.9361768,-1.7176392,37.25,-81.5,12,1745762400
645.916,-0.0061767576,-1.8976392,37.25,-81.25,12,1745762400
642.492,0.40382326,-1.9976392,37.25,-81.0,12,1745762400
639.468,1.2038232,-1.8976392,37.25,-80.75,12,1745762400
635.436,0.90382326,-2.2276392,37.25,-80.5,12,1745762400
633.484,0.52382326,-2.127639,37.25,-80.25,12,1745762400
632.284,1.6738232,-3.857639,37.25,-80.0,12,1745762400
631.02,2.4038231,-6.367639,37.25,-79.75,12,1745762400
629.564,1.3238232,-3.367639,37.25,-79.5,12,1745762400
628.748,1.6038232,-5.957639,37.25,-79.25,12,1745762400
627.836,0.55382323,-4.927639,37.25,-79.0,12,1745762400
626.844,0.03382324,-4.887639,37.25,-78.75,12,1745762400
625.852,0.26382324,-8.297639,37.25,-78.5,12,1745762400
624.172,0.97382325,-8.797639,37.25,-78.25,12,1745762400
622.524,1.2838233,-7.8976393,37.25,-78.0,12,1745762400
621.116,1.6838232,-9.027639,37.25,-77.75,12,1745762400
619.66,2.4338233,-9.847639,37.25,-77.5,12,1745762400
648.06,-2.4161768,-3.137639,37.5,-81.5,12,1745762400
645.804,-1.0261768,-2.847639,37.5,-81.25,12,1745762400
644.172,-0.19617675,-2.5576391,37.5,-81.0,12,1745762400
642.876,0.38382325,-2.317639,37.5,-80.75,12,1745762400
640.268,0.6838232,-2.2776392,37.5,-80.5,12,1745762400
636.38,0.96382326,-1.6776391,37.5,-80.25,12,1745762400
633.004,1.5438232,-3.4876392,37.5,-80.0,12,1745762400
632.156,1.4138232,-4.117639,37.5,-79.75,12,1745762400
629.836,1.2338233,-3.1676393,37.5,-79.5,12,1745762400
628.46,2.1338232,-4.3776393,37.5,-79.25,12,1745762400
627.692,1.2538233,-3.617639,37.5,-79.0,12,1745762400
626.412,0.67382324,-3.9976392,37.5,-78.75,12,1745762400
625.612,1.0838232,-7.977639,37.5,-78.5,12,1745762400
623.996,1.9938233,-8.747639,37.5,-78.25,12,1745762400
622.028,2.0038233,-7.6276393,37.5,-78.0,12,1745762400
620.444,2.4338233,-9.877639,37.5,-77.75,12,1745762400
618.572,3.5338233,-11.257639,37.5,-77.5,12,1745762400
853.96136,0.5872754,-1.4860474,36.5,-81.5,12,1745762400
853.8174,0.5872754,-2.8360474,36.5,-81.25,12,1745762400
852.7134,1.4572754,-6.586047,36.5,-81.0,12,1745762400
851.3534,0.5372754,-6.876047,36.5,-80.75,12,1745762400
851.2574,-0.64272463,-6.0060472,36.5,-80.5,12,1745762400
851.3534,-0.9927246,-5.4060473,36.5,-80.25,12,1745762400
850.8894,-1.6427246,-6.816047,36.5,-80.0,12,1745762400
850.21735,-1.5727246,-8.416047,36.5,-79.75,12,1745762400
849.0174,-1.4027246,-6.526047,36.5,-79.5,12,1745762400
848.74536,-1.0027246,-7.7560472,36.5,-79.25,12,1745762400
847.1134,-0.9927246,-7.8660474,36.5,-79.0,12,1745762400
845.1614,-1.3927246,-6.9460473,36.5,-78.75,12,1745762400
844.1214,-1.0227246,-8.236048,36.5,-78.5,12,1745762400
843.20935,-0.3627246,-8.806047,36.5,-78.25,12,1745762400
841.75336,0.30727538,-9.376047,36.5,-78.0,12,1745762400
839.86536,0.49727538,-10.336047,36.5,-77.75,12,1745762400
837.99335,0.8872754,-10.096047,36.5,-77.5,12,1745762400
860.1694,0.08727539,-1.6860473,36.75,-81.5,12,1745762400
858.1214,0.5872754,-2.5260475,36.75,-81.25,12,1745762400
856.87335,2.0072753,-6.1760473,36.75,-81.0,12,1745762400
854.53735,1.6572754,-7.1560473,36.75,-80.75,12,1745762400
852.5054,0.9972754,-6.9860473,36.75,-80.5,12,1745762400
851.73737,0.8872754,-5.8860474,36.75,-80.25,12,1745762400
851.1614,-0.28272462,-6.0360475,36.75,-80.0,12,1745762400
850.4734,-0.3527246,-8.376047,36.75,-79.75,12,1745762400
849.64136,-0.3227246,-6.4460473,36.75,-79.5,12,1745762400
849.28937,-0.83272463,-7.7460475,36.75,-79.25,12,1745762400
847.40137,-0.6827246,-7.5360475,36.75,-79.0,12,1745762400
845.99335,-0.7727246,-7.3060474,36.75,-78.75,12,1745762400
844.4574,-1.0027246,-8.716047,36.75,-78.5,12,1745762400
842.6174,-0.12272461,-9.786047,36.75,-78.25,12,1745762400
840.95337,0.04727539,-9.7660475,36.75,-78.0,12,1745762400
839.52936,0.6472754,-10.776048,36.75,-77.75,12,1745762400
837.6894,1.1572754,-10.536047,36.75,-77.5,12,1745762400
862.1534,-0.4327246,-1.9760474,37.0,-81.5,12,1745762400
861.1294,0.60727537,-2.5660474,37.0,-81.25,12,1745762400
859.51337,1.6272753,-4.026047,37.0,-81.0,12,1745762400
857.2574,1.4372754,-4.9160476,37.0,-80.75,12,1745762400
856.0094,1.9572754,-6.2160473,37.0,-80.5,12,1745762400
853.09735,1.8672754,-5.3960476,37.0,-80.25,12,1745762400
851.3694,0.8172754,-5.4960475,37.0,-80.0,12,1745762400
850.4894,1.3472754,-8.166047,37.0,-79.75,12,1745762400
849.2414,0.8672754,-5.3960476,37.0,-79.5,12,1745762400
848.8254,0.1372754,-7.1860476,37.0,-79.25,12,1745762400
847.41736,-0.08272461,-7.066047,37.0,-79.0,12,1745762400
846.4574,-0.5227246,-6.7160473,37.0,-78.75,12,1745762400
844.9374,-0.5727246,-9.296047,37.0,-78.5,12,1745762400
842.40936,0.12727539,-9.586047,37.0,-78.25,12,1745762400
840.9374,0.5072754,-9.566048,37.0,-78.0,12,1745762400
839.52936,1.0872754,-10.426047,37.0,-77.75,12,1745762400
